Date,Time,¹q¬y_A
25/09/01,09:06:10,9.0
25/09/01,09:06:12,5.5
25/09/01,09:06:14,5.4
25/09/01,09:06:16,5.6
25/09/01,09:06:18,5.6
25/09/01,09:06:20,5.5
25/09/01,09:06:22,5.3
25/09/01,09:06:24,5.7
25/09/01,09:06:26,5.5
25/09/01,09:06:28,5.4
25/09/01,09:06:30,5.5
25/09/01,09:06:32,5.5
25/09/01,09:06:34,5.7
25/09/01,09:06:36,5.7
25/09/01,09:06:38,5.5
25/09/01,09:06:40,5.6
25/09/01,09:06:42,5.6
25/09/01,09:06:44,5.6
25/09/01,09:06:46,5.6
25/09/01,09:06:48,5.5
25/09/01,09:06:50,5.6
25/09/01,09:06:52,5.7
25/09/01,09:06:54,5.7
25/09/01,09:06:56,5.7
25/09/01,09:06:58,5.8
25/09/01,09:07:00,5.8
25/09/01,09:07:02,5.7
25/09/01,09:07:04,6.0
25/09/01,09:07:06,5.7
25/09/01,09:07:08,6.0
25/09/01,09:07:10,6.1
25/09/01,09:07:12,6.0
25/09/01,09:07:14,5.9
25/09/01,09:07:16,5.8
25/09/01,09:07:18,5.8
25/09/01,09:07:20,5.9
25/09/01,09:07:22,6.0
25/09/01,09:07:24,5.8
25/09/01,09:07:26,6.0
25/09/01,09:07:28,6.0
25/09/01,09:07:30,5.7
25/09/01,09:07:32,6.0
25/09/01,09:07:34,5.9
25/09/01,09:07:36,6.4
25/09/01,09:07:38,6.9
25/09/01,09:07:40,6.5
25/09/01,09:07:42,7.4
25/09/01,09:07:44,7.2
25/09/01,09:07:46,7.7
25/09/01,09:07:48,8.5
25/09/01,09:07:50,9.6
25/09/01,09:07:52,9.9
25/09/01,09:07:54,9.0
25/09/01,09:07:56,7.2
25/09/01,09:07:58,7.4
25/09/01,09:08:00,8.2
25/09/01,09:08:02,7.2
25/09/01,09:08:04,7.2
25/09/01,09:08:06,7.3
25/09/01,09:08:08,6.3
25/09/01,09:08:10,6.3
25/09/01,09:08:12,6.1
25/09/01,09:08:14,6.6
25/09/01,09:08:16,7.3
25/09/01,09:08:18,7.9
25/09/01,09:08:20,7.2
25/09/01,09:08:22,7.7
25/09/01,09:08:24,7.9
25/09/01,09:08:26,8.4
25/09/01,09:08:28,8.5
25/09/01,09:08:30,7.7
25/09/01,09:08:32,8.0
25/09/01,09:08:34,7.1
25/09/01,09:08:36,6.6
25/09/01,09:08:38,6.7
25/09/01,09:08:40,6.7
25/09/01,09:08:42,7.1
25/09/01,09:08:44,6.3
25/09/01,09:08:46,6.2
25/09/01,09:08:48,6.3
25/09/01,09:08:50,6.4
25/09/01,09:08:52,6.3
25/09/01,09:08:54,6.3
25/09/01,09:08:56,6.3
25/09/01,09:08:58,6.7
25/09/01,09:09:00,6.1
25/09/01,09:09:02,6.9
25/09/01,09:09:04,6.5
25/09/01,09:09:06,6.5
25/09/01,09:09:08,6.9
25/09/01,09:09:10,6.3
25/09/01,09:09:12,6.6
25/09/01,09:09:14,6.6
25/09/01,09:09:16,7.3
25/09/01,09:09:18,6.9
25/09/01,09:09:20,7.1
25/09/01,09:09:22,6.6
25/09/01,09:09:24,6.9
25/09/01,09:09:26,6.8
25/09/01,09:09:28,7.2
25/09/01,09:09:30,6.9
25/09/01,09:09:32,6.7
25/09/01,09:09:34,6.7
25/09/01,09:09:36,6.9
25/09/01,09:09:38,6.5
25/09/01,09:09:40,6.5
25/09/01,09:09:42,6.9
25/09/01,09:09:44,6.6
25/09/01,09:09:46,7.0
25/09/01,09:09:48,7.0
25/09/01,09:09:50,6.9
25/09/01,09:09:52,6.9
