側向油壓,二次加壓,主油壓,油槽油溫,油泵溫度
3.1,13.9,47.9,33.6,31.9
4.3,13.9,48.7,33.6,31.9
3.6,13.9,48,33.6,31.9
3.1,13.9,47.9,33.6,31.9
4.3,13.9,47.8,33.6,31.9
3.6,13.9,48.8,33.6,31.9
3.1,13.9,48.7,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.6,13.9,47.8,33.6,31.9
3.1,13.9,47.8,33.6,31.9
3.6,13.9,48.8,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.7,13.9,47.7,33.6,31.9
3.6,13.9,48.8,33.6,31.9
3.1,13.9,48.8,33.6,31.9
3.6,13.9,47.7,33.6,31.9
3.1,13.9,47.8,33.6,31.9
3.6,13.9,48.7,33.6,31.9
3.1,13.9,48.9,33.6,31.9
4.3,13.9,47.9,33.6,31.9
3.1,13.9,48.8,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.7,13.9,47.8,33.6,31.9
3.1,13.9,48.9,33.6,31.9
3.1,13.9,48,33.6,31.9
4.3,13.9,47.9,33.6,31.9
3.6,13.9,48.9,33.6,31.9
4.3,13.9,48,33.6,31.9
3.7,13.9,48.1,33.6,31.9
3.7,13.9,48.9,33.6,31.9
3.7,13.9,48,33.6,31.9
3.1,13.9,48.8,33.6,31.9
3.6,13.9,47.6,33.6,31.9
3.1,13.9,47.8,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.6,13.9,47.7,33.6,31.9
3.1,13.9,48.8,33.6,31.9
3.6,13.9,48.8,33.6,31.9
4.3,13.9,47.9,33.6,31.9
3.6,13.9,47.7,33.6,31.9
3.1,13.9,48.9,33.6,31.9
4.3,13.9,47.9,33.6,31.9
3.6,13.9,47.6,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.6,13.9,48.9,33.6,31.9
3.1,13.9,48,33.6,31.9
3.6,13.9,47.8,33.6,31.9
3.1,13.9,47.7,33.6,31.9
3.7,13.9,48.9,33.6,31.9
3.7,13.9,47.9,33.6,31.9
3.6,13.9,48.8,33.6,31.9
3.1,13.9,48.8,33.6,31.9
3.7,13.9,47.7,33.6,31.9
3.6,13.9,48.9,33.6,31.9
4.3,13.9,47.9,33.6,31.9
3.6,13.9,48.8,33.6,31.9
3.1,13.9,48.9,33.6,31.9
3.7,13.9,47.8,33.6,31.9
3.1,13.9,47.8,33.6,31.9
4.3,13.9,47.6,33.6,31.9
3.7,13.9,48.7,33.6,31.9
3.6,13.9,47.7,33.6,31.9
4.3,13.9,48.9,33.6,31.9
3.7,13.9,47.8,33.6,31.9
3.6,13.9,48.8,33.6,31.9
4.3,13.9,47.7,33.6,31.9
4.3,13.9,48,33.6,31.9
3.7,13.9,47.8,33.6,31.9
3.6,13.9,47.7,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.6,13.9,47.7,33.6,31.9
3.6,13.9,47.8,33.6,31.9
4.3,13.9,48.8,33.6,31.9
3.6,13.9,48.9,33.6,31.9
4.3,13.9,48.7,33.6,31.9
3.7,13.9,48.8,33.6,31.9
3.6,13.9,47.8,33.6,31.9
3.1,13.9,48.7,33.6,31.9
4.3,13.9,47.9,33.6,31.9
3.1,13.9,48.8,33.6,31.9
4.3,13.9,48.7,33.6,31.9
